Epoch: 72 	Total: 187.0893 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5595
Epoch: 73 	Total: 187.0353 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4917
Epoch: 74 	Total: 187.3987 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5425
Epoch: 75 	Total: 187.0274 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5625
Epoch: 76 	Total: 187.4018 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5665
Epoch: 77 	Total: 187.4498 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6612
Epoch: 78 	Total: 187.1768 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6118
Epoch: 79 	Total: 187.2635 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6048
Epoch: 80 	Total: 187.1820 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6650
Epoch: 81 	Total: 187.2909 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5288
Epoch: 82 	Total: 187.2339 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5884
Epoch: 83 	Total: 187.3906 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6153
Epoch: 84 	Total: 187.3052 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5555
Epoch: 85 	Total: 187.3001 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5814
Epoch: 86 	Total: 187.1542 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4787
Epoch: 87 	Total: 187.2535 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5695
Epoch: 88 	Total: 187.3031 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5704
Epoch: 89 	Total: 187.3718 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5964
Epoch: 90 	Total: 186.8602 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5784
Epoch: 91 	Total: 187.2499 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5665
Epoch: 92 	Total: 187.0205 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5734
Epoch: 93 	Total: 187.4689 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5086
Epoch: 94 	Total: 187.3185 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5734
Epoch: 95 	Total: 187.2739 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6014
Epoch: 96 	Total: 187.1513 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5394
Epoch: 97 	Total: 187.3973 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6024
Epoch: 98 	Total: 187.1928 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5495
Epoch: 99 	Total: 187.5544 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5994
Epoch: 100 	Total: 187.3214 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5445
Epoch: 101 	Total: 187.0237 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6871
Epoch: 102 	Total: 187.2850 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5505
Epoch: 103 	Total: 187.4023 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5984
Epoch: 104 	Total: 187.4470 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6672
Epoch: 105 	Total: 187.1740 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5385
Epoch: 106 	Total: 187.2613 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5884
Epoch: 107 	Total: 187.3801 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4953
Epoch: 108 	Total: 187.3197 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6206
Epoch: 109 	Total: 187.2607 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5790
Epoch: 110 	Total: 187.0640 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4933
Epoch: 111 	Total: 187.5357 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6485
Epoch: 112 	Total: 187.3852 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5925
Epoch: 113 	Total: 187.1129 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4843
Epoch: 114 	Total: 187.2896 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5864
Epoch: 115 	Total: 187.4852 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5733
Epoch: 116 	Total: 187.1826 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5908
Epoch: 117 	Total: 187.2915 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5690
Epoch: 118 	Total: 187.3216 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5485
Epoch: 119 	Total: 187.0454 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5256
Epoch: 120 	Total: 187.3646 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5884
Epoch: 121 	Total: 186.8862 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5495
Epoch: 122 	Total: 187.3737 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5974
Epoch: 123 	Total: 186.9447 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4976
Epoch: 124 	Total: 187.1260 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5585
Epoch: 125 	Total: 187.2623 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5076
Epoch: 126 	Total: 187.2305 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5675
Epoch: 127 	Total: 187.3379 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5844
Epoch: 128 	Total: 187.5092 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5395
Epoch: 129 	Total: 187.2984 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5960
